id,gold_label,derived_label,consensus_type,is_mismatch,ahli4_vote,votes
CS-MIN-011,C,B,MAJORITY,True,B,"{""ahli1"": ""B"", ""ahli2"": ""C"", ""ahli3"": ""A"", ""ahli4"": ""B""}"
CS-MIN-004,B,C,MAJORITY,True,C,"{""ahli1"": ""A"", ""ahli2"": ""C"", ""ahli3"": ""C"", ""ahli4"": ""C""}"
CS-JAW-006,A,A,MAJORITY,False,A,"{""ahli1"": ""A"", ""ahli2"": ""A"", ""ahli3"": ""C"", ""ahli4"": ""A""}"
CS-LIN-052,D,SPLIT,TIE,True,C,"{""ahli1"": ""D"", ""ahli2"": ""C"", ""ahli3"": ""D"", ""ahli4"": ""C""}"
CS-NAS-066,A,A,MAJORITY,False,A,"{""ahli1"": ""A"", ""ahli2"": ""A"", ""ahli3"": ""C"", ""ahli4"": ""A""}"
CS-BAL-002,C,C,MAJORITY,False,C,"{""ahli1"": ""C"", ""ahli2"": ""A"", ""ahli3"": ""C"", ""ahli4"": ""C""}"
CS-NAS-010,A,A,UNANIMOUS,False,A,"{""ahli1"": ""A"", ""ahli2"": ""A"", ""ahli3"": ""A"", ""ahli4"": ""A""}"
CS-LIN-017,A,SPLIT,TIE,True,A,"{""ahli1"": ""A"", ""ahli2"": ""C"", ""ahli3"": ""C"", ""ahli4"": ""A""}"
CS-MIN-013,B,B,MAJORITY,False,D,"{""ahli1"": ""B"", ""ahli2"": ""C"", ""ahli3"": ""B"", ""ahli4"": ""D""}"
CS-BAL-014,B,SPLIT,TIE,True,C,"{""ahli1"": ""B"", ""ahli2"": ""C"", ""ahli3"": ""B"", ""ahli4"": ""C""}"
CS-JAW-015,C,C,UNANIMOUS,False,C,"{""ahli1"": ""C"", ""ahli2"": ""C"", ""ahli3"": ""C"", ""ahli4"": ""C""}"
CS-LIN-016,C,SPLIT,TIE,True,A,"{""ahli1"": ""C"", ""ahli2"": ""A"", ""ahli3"": ""C"", ""ahli4"": ""A""}"
CS-BAL-012,C,C,UNANIMOUS,False,N/A,"{""ahli1"": ""C"", ""ahli2"": ""C"", ""ahli3"": ""C""}"
CS-LIN-018,C,C,MAJORITY,False,N/A,"{""ahli1"": ""C"", ""ahli2"": ""C"", ""ahli3"": ""A""}"
CS-MIN-005,SPLIT,SPLIT,TIE,False,N/A,"{""ahli1"": ""B"", ""ahli2"": ""C"", ""ahli3"": ""A""}"
CS-JAW-011,C,C,MAJORITY,False,N/A,"{""ahli1"": ""A"", ""ahli2"": ""C"", ""ahli3"": ""C""}"
CS-BAL-009,B,B,MAJORITY,False,N/A,"{""ahli1"": ""B"", ""ahli2"": ""B"", ""ahli3"": ""C""}"
CS-NAS-022,C,C,MAJORITY,False,N/A,"{""ahli1"": ""C"", ""ahli2"": ""C"", ""ahli3"": ""A""}"
CS-MIN-015,SPLIT,SPLIT,TIE,False,N/A,"{""ahli1"": ""C"", ""ahli2"": ""B"", ""ahli3"": ""A""}"
CS-JAW-019,C,C,MAJORITY,False,N/A,"{""ahli1"": ""B"", ""ahli2"": ""C"", ""ahli3"": ""C""}"
CS-BAL-020,C,C,MAJORITY,False,N/A,"{""ahli1"": ""B"", ""ahli2"": ""C"", ""ahli3"": ""C""}"
CS-NAS-041,C,C,MAJORITY,False,N/A,"{""ahli1"": ""A"", ""ahli2"": ""C"", ""ahli3"": ""C""}"
CS-MIN-025,C,C,UNANIMOUS,False,N/A,"{""ahli1"": ""C"", ""ahli2"": ""C"", ""ahli3"": ""C""}"
CS-JAW-030,C,C,MAJORITY,False,N/A,"{""ahli1"": ""B"", ""ahli2"": ""C"", ""ahli3"": ""C""}"
